ProbeSetID,gene_short_name,Control_rep1,Control_rep2,Control_rep3,RBP2_rep1,RBP2_rep2,RBP2_rep3
XLOC_000001,DDX11L1,0,0,0,0.0401135,0,0
XLOC_000002,OR4F5,0,0,0,0,0,0
XLOC_000003,"LOC100132062,LOC100133331",0.0165198,0,0.0181987,0.0143971,0.0423239,0
XLOC_000004,OR4F3,0,0,0,0,0,0
XLOC_000005,LOC643837,1.73686,2.01458,2.13061,2.26045,1.97387,2.01318
XLOC_000006,SAMD11,4.69896,5.02413,5.69009,1.46608,1.19227,2.8035
XLOC_000007,KLHL17,4.53388,3.78135,3.45733,3.71166,3.65872,4.56828
XLOC_000008,PLEKHN1,2.66733,2.12934,2.44114,5.71506,3.95946,3.89199
XLOC_000009,ISG15,1120.27,2096.75,3317.44,4159.77,4133.86,4057.64
XLOC_000010,AGRN,53.6714,57.8163,61.5307,63.4245,65.1888,83.9495
XLOC_000011,LOC254099,0,0.0482704,0.0531405,0,0.040192,0.0935883
XLOC_000012,MIR200B,0,0,0,0,0,0
XLOC_000013,MIR200A,0,0,0,0,0,0
XLOC_000014,MIR429,0,0,0,0,0,0
XLOC_000015,TTLL10,0.0358616,0.143544,0.18712,0.183168,0.149442,0.173949
XLOC_000016,B3GALT6,13.234,15.0244,13.6424,7.58736,8.31461,7.95198
XLOC_000017,SCNN1D,0.373727,0.374072,0.345092,0.530369,0.436295,0.411016
XLOC_000018,PUSL1,41.6272,46.8625,51.3161,25.9836,26.4576,32.7839
XLOC_000019,GLTPD1,16.8385,19.3652,22.9831,9.26296,9.6719,10.7565
XLOC_000020,TAS1R3,0.0291246,0.174891,0.128319,0.247965,0.0728428,0.0847758
XLOC_000021,LOC148413,15.9712,15.8891,18.0757,13.5923,13.784,14.2877
XLOC_000022,TMEM88B,0,0,0,0,0,0
XLOC_000023,VWA1,13.6764,17.4362,18.7597,8.84118,9.43174,10.3152
XLOC_000024,ATAD3C,0.319902,0.113032,0.0829187,0.240386,0.392411,0.146112
XLOC_000025,ATAD3B,15.6555,15.8524,13.9575,16.1303,15.3327,14.5924
XLOC_000026,ATAD3A,32.3321,38.2077,41.0419,24.9196,24.3907,24.7579
XLOC_000027,MIB2,5.92151,6.46589,6.19844,5.40732,5.63139,5.04849
XLOC_000028,"MMP23A,MMP23B",0.0655546,0,0,0.111518,0.109103,0
XLOC_000029,MMP23A,0,0,0,0,0,0
XLOC_000030,CALML6,0.226523,0.226417,0,0.706286,0.565224,0.146318
XLOC_000031,GABRD,3.02022,3.89655,3.80767,1.38681,1.35763,0.501093
XLOC_000032,PRKCZ,24.6089,28.5698,32.7255,16.4412,15.4792,16.2611
XLOC_000033,SKI,7.94997,8.6622,7.65493,5.3959,4.61726,6.27123
XLOC_000034,RER1,44.7189,50.5949,55.9909,45.6422,45.3312,41.8564
XLOC_000035,PLCH2,0.104029,0.148794,0.0982316,0.139233,0.123987,0.086554
XLOC_000036,TNFRSF14,0,0,0,0,0,0
XLOC_000037,FAM213B,27.9721,32.8933,39.2398,15.4381,15.2374,14.4188
XLOC_000038,ACTRT2,0,0,0,0,0,0
XLOC_000039,PRDM16,1.79751,1.62977,1.52544,1.81404,1.95968,2.44483
XLOC_000040,MIR4251,0,0,0,0,0,0
XLOC_000041,ARHGEF16,15.9436,17.7909,19.2707,13.2725,12.8705,14.3363
XLOC_000042,TPRG1L,22.3896,24.9378,27.9558,16.751,17.559,16.9055
XLOC_000043,TP73,1.13994,1.20069,1.38254,0.4103,0.407197,0.801715
XLOC_000044,CCDC27,0,0,0,0,0,0
XLOC_000045,SMIM1,2.68387,2.67402,3.58274,1.78755,1.58509,1.85079
XLOC_000046,DFFB,2.45623,2.70201,1.95554,1.80158,1.52097,2.73754
XLOC_000047,LOC100133612,0.195662,0.0391536,0,0.133233,0.228254,0.113871
XLOC_000048,LOC728716,0,0,0,0,0,0
XLOC_000049,LOC284661,0,0,0,0,0,0
XLOC_000050,AJAP1,0.886434,0.909919,0.445058,0.255582,0.510069,0.353299
XLOC_000051,MIR4417,0,0,0,0,0,0
XLOC_000052,KCNAB2,6.2226,6.96233,9.21055,7.30465,6.50131,6.68681
XLOC_000053,RNF207,1.8261,0.932362,0.985708,3.57692,3.09219,2.46363
XLOC_000054,HES3,0,0,0,0,0,0
XLOC_000055,ESPN,3.53333,4.28172,4.52955,3.69517,3.82589,0.501339
XLOC_000056,TAS1R1,0,0.0374379,0.164835,0,0,0.0362942
XLOC_000057,ZBTB48,7.1295,7.77754,8.52467,6.53431,5.91613,6.72994
XLOC_000058,PHF13,10.6929,11.1017,13.9209,7.53495,6.65187,9.39599
XLOC_000059,THAP3,13.3675,14.8836,16.5401,10.5735,11.2556,12.3798
XLOC_000060,CAMTA1,67.6249,68.9786,86.4342,48.3048,47.5614,50.7758
XLOC_000061,VAMP3,45.8338,51.277,53.6104,37.9392,37.4311,39.7819
XLOC_000062,PER3,0.758187,0.678665,0.442958,1.72218,1.62958,1.33826
XLOC_000063,PARK7,369.726,420.748,512.895,234.751,234.312,264.525
XLOC_000064,SLC45A1,0.156008,0.405932,0.412399,0.371888,0.364137,0.575167
XLOC_000065,ENO1-AS1,1.32402,2.10682,0.872734,1.12029,0.654587,1.27557
XLOC_000066,CA6,0,0,0,0,0,0
XLOC_000067,H6PD,2.73273,3.48859,3.76986,2.90828,2.62961,2.81856
XLOC_000068,SPSB1,5.98953,8.00172,9.42898,8.9153,9.36037,13.2038
XLOC_000069,SLC25A33,14.5788,15.7189,14.7403,10.2829,10.5594,11.2971
XLOC_000070,TMEM201,11.4227,13.4797,15.9532,6.81538,6.98824,8.48127
XLOC_000071,PIK3CD,1.15091,1.01991,1.20963,0.788737,0.65122,0.950287
XLOC_000072,NMNAT1,4.15282,4.96577,5.04067,2.29225,2.22909,3.20952
XLOC_000073,RBP7,8.68685,9.98733,14.899,3.49893,4.2706,4.12792
XLOC_000074,UBE4B,14.1516,15.2204,15.1159,7.9743,7.86836,10.4242
XLOC_000075,KIF1B,6.77274,5.83189,4.37717,7.85931,8.50966,12.6186
XLOC_000076,PGD,247.264,304.575,389.243,246.506,244.116,202.09
XLOC_000077,"APITD1,APITD1-CORT,CORT",12.7502,11.9396,14.6821,12.369,12.5567,12.067
XLOC_000078,PEX14,12.1931,14.5838,19.4211,9.46546,10.1267,10.9021
XLOC_000079,TARDBP,54.9554,43.8607,37.9107,51.2429,50.2063,57.5848
XLOC_000080,MTOR-AS1,0,0,0,0,0,0
XLOC_000081,ANGPTL7,0,0,0,0,0,0
XLOC_000082,UBIAD1,9.80555,11.2926,12.6019,7.80731,7.43057,7.79516
XLOC_000083,PTCHD2,0.618618,0.729508,0.787524,0.632283,0.550548,0.34696
XLOC_000084,FBXO44,10.912,12.7186,15.9245,7.89125,7.00099,8.86971
